FSR_weight1 (g), FSR_weight2 (g), FSR_weight3 (g), Pressure (PSI) 
0.00, 0.00, 0.00, 14.31
0.00, 0.00, 0.00, 14.05
0.00, 0.00, 0.00, 13.91
0.00, 0.00, 0.00, 13.77
0.00, 0.00, 0.00, 13.65
0.00, 0.00, 0.00, 13.52
0.00, 0.00, 0.00, 13.39
0.00, 0.00, 0.00, 13.26
0.00, 0.00, 0.00, 13.17
0.00, 0.00, 0.00, 13.21
0.00, 0.00, 0.00, 13.23
0.00, 0.00, 0.00, 13.25
0.00, 0.00, 0.00, 13.27
0.00, 0.00, 0.00, 13.29
0.00, 0.00, 0.00, 13.31
0.00, 0.00, 0.00, 13.32
0.00, 0.00, 0.00, 13.33
0.00, 0.00, 0.00, 13.34
0.00, 0.00, 0.00, 13.35
0.00, 0.00, 0.00, 13.36
0.00, 0.00, 0.00, 13.36
0.00, 0.00, 0.00, 13.37
0.00, 0.00, 0.00, 13.37
0.00, 0.00, 0.00, 13.37
0.00, 0.00, 0.00, 13.38
0.00, 0.00, 0.00, 13.38
0.00, 0.00, 0.00, 13.39
0.00, 0.00, 0.00, 13.39
0.00, 0.00, 0.00, 13.40
0.00, 0.00, 0.00, 13.40
0.00, 0.00, 0.00, 13.40
0.00, 0.00, 0.00, 13.41
0.00, 0.00, 0.00, 13.41
0.00, 0.00, 0.00, 13.41
0.00, 0.00, 0.00, 13.42
0.00, 0.00, 0.00, 13.42
0.00, 0.00, 0.00, 13.42
0.00, 0.00, 0.00, 13.43
0.00, 0.00, 0.00, 13.43
0.00, 0.00, 0.00, 13.43
0.00, 0.00, 0.00, 13.46
0.00, 0.00, 0.00, 13.65
0.00, 0.00, 0.00, 13.81
0.00, 0.00, 0.00, 13.96
0.00, 0.00, 0.00, 14.13
0.00, 0.00, 0.00, 14.29
0.00, 0.00, 0.00, 14.46
0.00, 0.00, 0.00, 14.63
0.00, 0.00, 0.00, 14.79
0.00, 0.00, 0.00, 14.82
0.00, 0.00, 0.00, 14.90
0.00, 0.00, 0.00, 14.94
0.00, 0.00, 0.00, 14.97
0.00, 0.00, 0.00, 15.09
0.00, 0.00, 0.00, 15.23
0.00, 0.00, 0.00, 15.38
0.00, 0.00, 0.00, 15.53
0.00, 0.00, 0.00, 15.69
0.00, 0.00, 0.00, 15.85
0.00, 0.00, 0.00, 16.01
0.00, 0.00, 0.00, 16.17
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.47
0.00, 0.00, 0.00, 16.59
0.00, 0.00, 0.00, 16.52
0.00, 0.00, 0.00, 16.39
0.00, 0.00, 0.00, 16.38
0.00, 0.00, 0.00, 16.37
0.00, 0.00, 0.00, 16.37
0.00, 0.00, 0.00, 16.37
0.00, 0.00, 0.00, 16.36
0.00, 0.00, 0.00, 16.35
0.00, 0.00, 0.00, 16.35
0.00, 0.00, 0.00, 16.34
0.00, 0.00, 0.00, 16.34
0.00, 0.00, 0.00, 16.34
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.33
0.00, 0.00, 0.00, 16.32
0.00, 0.00, 0.00, 16.32
0.00, 0.00, 0.00, 16.32
0.00, 0.00, 0.00, 16.31
0.00, 0.00, 0.00, 16.31
0.00, 0.00, 0.00, 16.30
0.00, 0.00, 0.00, 16.30
0.00, 0.00, 0.00, 16.29
0.00, 0.00, 0.00, 16.29
0.00, 0.00, 0.00, 16.28
0.00, 0.00, 0.00, 16.28
0.00, 0.00, 0.00, 16.28
0.00, 0.00, 0.00, 16.28
